,date,n_killed,n_injured,n_guns_involved
0,2014-01,1070,1875,406.0
1,2014-02,845,1223,317.0
2,2014-03,1007,1551,406.0
3,2014-04,979,1782,586.0
4,2014-05,1099,2100,429.0
5,2014-06,1127,2069,486.0
6,2014-07,1162,2423,494.0
7,2014-08,1140,2298,492.0
8,2014-09,1013,2059,658.0
9,2014-10,1012,1884,705.0
10,2014-11,1017,1832,866.0
11,2014-12,1086,1906,2082.0
12,2015-01,1123,1808,2489.0
13,2015-02,870,1378,1798.0
14,2015-03,1090,2093,2748.0
15,2015-04,995,2149,2288.0
16,2015-05,1164,2677,3694.0
17,2015-06,1092,2414,3482.0
18,2015-07,1293,2669,3166.0
19,2015-08,1199,2664,4158.0
20,2015-09,1247,2426,3066.0
21,2015-10,1092,2257,3322.0
22,2015-11,1133,2148,3169.0
23,2015-12,1186,2284,3469.0
24,2016-01,1139,2250,2710.0
25,2016-02,984,1864,2672.0
26,2016-03,1181,2430,3109.0
27,2016-04,1152,2276,3408.0
28,2016-05,1158,2634,3833.0
29,2016-06,1276,2504,2874.0
30,2016-07,1399,3038,3793.0
31,2016-08,1429,3032,6425.0
32,2016-09,1286,2598,5928.0
33,2016-10,1356,2792,6468.0
34,2016-11,1368,2642,6239.0
35,2016-12,1338,2520,6362.0
36,2017-01,1356,2604,6492.0
37,2017-02,1141,2197,5967.0
38,2017-03,1220,2233,6555.0
39,2017-04,1231,2648,6838.0
40,2017-05,1389,2732,7091.0
41,2017-06,1366,2679,6551.0
42,2017-07,1391,3018,6866.0
43,2017-08,1324,2731,6143.0
44,2017-09,1196,2573,5804.0
45,2017-10,1305,2742,6254.0
46,2017-11,1304,2377,5774.0
47,2017-12,1288,2169,5854.0
48,2018-01,1324,2365,6151.0
49,2018-02,1091,1713,5433.0
50,2018-03,1118,2093,5961.0
